(City: WestBernitaside, Pop: 48160398, Elevation: 2734.0)
(City: Cathrynborough, Pop: 48861791, Elevation: 410.0)
(City: LakeHarley, Pop: 12039108, Elevation: 2492.0)
(City: SouthGodfreyberg, Pop: 30870837, Elevation: 525.0)
(City: SouthJessieborough, Pop: 48326660, Elevation: 2707.0)
(City: WestArianetown, Pop: 14796598, Elevation: 3646.0)
(City: Cormierstad, Pop: 17506664, Elevation: -94.0)
(City: Boyleborough, Pop: 36120968, Elevation: 2629.0)
(City: O'Connellton, Pop: 35038707, Elevation: 3362.0)
(City: SouthAlisaside, Pop: 132796, Elevation: 3473.0)
(City: Howellland, Pop: 41356566, Elevation: 2291.0)
(City: NorthMurl, Pop: 27265315, Elevation: 2279.0)
(City: Reichelchester, Pop: 40600577, Elevation: 3271.0)
(City: NorthAfton, Pop: 21865336, Elevation: 1426.0)
(City: LakeFaye, Pop: 1447960, Elevation: 3787.0)
(City: NorthNealchester, Pop: 32997757, Elevation: 640.0)
(City: LakeBradchester, Pop: 46403063, Elevation: 2639.0)
(City: NorthSabrina, Pop: 3827463, Elevation: 972.0)
(City: Dariusview, Pop: 13524033, Elevation: 3666.0)
(City: Ebertmouth, Pop: 34336770, Elevation: 107.0)
(City: Jonathonmouth, Pop: 42112344, Elevation: 738.0)
(City: SouthJillian, Pop: 19318797, Elevation: 712.0)
(City: Welchfort, Pop: 37102341, Elevation: 787.0)
(City: Spencerfurt, Pop: 13434315, Elevation: 3280.0)
(City: SouthBuck, Pop: 27501600, Elevation: 605.0)
(City: PortMiracle, Pop: 17639615, Elevation: 1155.0)
(City: PortCloydside, Pop: 2588054, Elevation: -78.0)
(City: O'Reillychester, Pop: 36885543, Elevation: 3505.0)
(City: WestBenton, Pop: 28478126, Elevation: 2349.0)
(City: WestUniquemouth, Pop: 42546804, Elevation: 2283.0)
(City: Jeanmouth, Pop: 3076350, Elevation: 2462.0)
(City: Lulaberg, Pop: 38114054, Elevation: 2181.0)
(City: Littleberg, Pop: 28967769, Elevation: 2378.0)
(City: EastMagaliborough, Pop: 18799698, Elevation: 2763.0)
(City: NorthDevonteville, Pop: 30518462, Elevation: 1308.0)
(City: PortRuth, Pop: 3755205, Elevation: 2591.0)
(City: Justinaville, Pop: 14392651, Elevation: 1378.0)
(City: LakeKayley, Pop: 36281820, Elevation: 2060.0)
(City: Carsonfurt, Pop: 16689246, Elevation: 3182.0)
(City: SouthAgnes, Pop: 33234476, Elevation: 3864.0)
(City: Anniemouth, Pop: 34377950, Elevation: -8.0)
(City: Reneeberg, Pop: 26612903, Elevation: 2506.0)
(City: Leopoldtown, Pop: 37482848, Elevation: 1050.0)
(City: Violethaven, Pop: 7376767, Elevation: 1841.0)
(City: Kuhnshire, Pop: 39971082, Elevation: 2868.0)
(City: NewZackview, Pop: 22760870, Elevation: 2121.0)
(City: Richardshire, Pop: 35408218, Elevation: 2336.0)
(City: NorthFlorineport, Pop: 40843405, Elevation: 1151.0)
(City: NewJanie, Pop: 25546129, Elevation: 408.0)
(City: Pascaleport, Pop: 31452006, Elevation: 3104.0)
(City: Devonstad, Pop: 20935710, Elevation: 1316.0)
(City: SouthDrewchester, Pop: 4751887, Elevation: 699.0)
(City: PortLonfurt, Pop: 46061486, Elevation: 894.0)
(City: Kesslerbury, Pop: 5081884, Elevation: 3547.0)
(City: LakeJoanchester, Pop: 42157399, Elevation: 3340.0)
