Node# CityName Population Elevation
1 NorthAubreymouth 49748722 1688.0
2 Lucianohaven 527837 705.0
3 Cindyhaven 27713056 1421.0
4 EastElvie 12420143 2006.0
5 Brekkeshire 46465687 3537.0
6 Gloverborough 47796089 880.0
7 Alexandershire 38012086 2272.0
8 NewNicoleton 11331679 -6.0
9 Wiegandfort 15861441 1780.0
10 Oswaldostad 23578078 3144.0
11 Newellborough 13223422 3922.0
12 Faustoborough 1422187 1286.0
13 NorthCalebmouth 2021687 2276.0
14 Elianport 26464450 -50.0
15 Oranstad 19367602 3881.0
16 Pacochaton 49805084 2940.0
17 Donnellyborough 39965688 3593.0
18 SouthGilda 33367469 2525.0
19 Durganside 19303548 2596.0
20 WestCarissa 18628349 3091.0
21 Mayertshire 30964722 3081.0
22 NorthOralport 27407986 2860.0
23 Antoniohaven 840035 2751.0
24 EastNoah 19613939 972.0
25 EastIdastad 15159767 3008.0
26 Kiehnfurt 29105315 2990.0
27 WestDavionstad 18432079 3710.0
28 Cartwrightburgh 30124020 2026.0
29 Rubenstad 45442586 3060.0
30 Morgantown 5191271 990.0
31 Layneburgh 21826953 698.0
32 McKenzieland 770526 1231.0
33 Davisborough 15905395 3085.0
34 Phoebeton 36046001 1699.0
35 PortStefanfort 38211535 2659.0
36 Quentinchester 5620106 -41.0
37 EastBuck 3326562 966.0
38 PortKamryn 9345837 3307.0
39 NewBrianafurt 32902628 771.0
40 Brettmouth 40589002 1524.0
41 WestMelba 46914607 3718.0
42 Kendrachester 15347232 1372.0
43 Raynorberg 18652664 2562.0
44 EastDanteside 37505576 3148.0
45 Howeview 9152507 2743.0
46 LakeJaleelborough 27416120 1067.0
47 Ulicesview 25995033 2845.0
48 Kingside 20420994 3860.0
49 Simonistown 18554732 3799.0
50 Daronchester 47543814 1974.0
51 WestEladioland 21520199 3921.0
52 Rogahnstad 3377177 2238.0
53 NewConradmouth 19845886 1953.0
54 Ernestineburgh 38052832 3381.0
55 SouthErnestina 36039682 1628.0
56 Rebafort 35190295 568.0
57 Kemmertown 32267290 1501.0
58 WestRosannashire 37665629 363.0
59 WestCyrilberg 42445079 2180.0
60 Kuvalistown 21164702 1195.0
61 SouthJocelynside 7152707 3312.0
62 NewMeda 28524795 2213.0
63 Alberthaville 30696553 3611.0
64 WestHanna 26994352 493.0
65 Hassiefort 39654949 2623.0
66 EastBuford 9938666 1248.0
67 EastEulah 10896357 3907.0
68 Farrellview 4843052 1925.0
