(City: Careyland, Pop: 5086547, Elevation: 1645.0)
(City: NorthAubreymouth, Pop: 49748722, Elevation: 1688.0)
(City: Cindyhaven, Pop: 27713056, Elevation: 1421.0)
(City: Alexandershire, Pop: 38012086, Elevation: 2272.0)
(City: NewNicoleton, Pop: 11331679, Elevation: -6.0)
(City: Oswaldostad, Pop: 23578078, Elevation: 3144.0)
(City: Faustoborough, Pop: 1422187, Elevation: 1286.0)
(City: NorthCalebmouth, Pop: 2021687, Elevation: 2276.0)
(City: Elianport, Pop: 26464450, Elevation: -50.0)
(City: Durganside, Pop: 19303548, Elevation: 2596.0)
(City: WestCarissa, Pop: 18628349, Elevation: 3091.0)
(City: Mayertshire, Pop: 30964722, Elevation: 3081.0)
(City: NorthOralport, Pop: 27407986, Elevation: 2860.0)
(City: EastIdastad, Pop: 15159767, Elevation: 3008.0)
(City: Cartwrightburgh, Pop: 30124020, Elevation: 2026.0)
(City: Rubenstad, Pop: 45442586, Elevation: 3060.0)
(City: Morgantown, Pop: 5191271, Elevation: 990.0)
(City: Layneburgh, Pop: 21826953, Elevation: 698.0)
(City: EastBuck, Pop: 3326562, Elevation: 966.0)
(City: NewBrianafurt, Pop: 32902628, Elevation: 771.0)
(City: LakeJaleelborough, Pop: 27416120, Elevation: 1067.0)
(City: Kingside, Pop: 20420994, Elevation: 3860.0)
(City: Daronchester, Pop: 47543814, Elevation: 1974.0)
(City: WestEladioland, Pop: 21520199, Elevation: 3921.0)
(City: Rogahnstad, Pop: 3377177, Elevation: 2238.0)
(City: NewConradmouth, Pop: 19845886, Elevation: 1953.0)
(City: Ernestineburgh, Pop: 38052832, Elevation: 3381.0)
(City: Kemmertown, Pop: 32267290, Elevation: 1501.0)
(City: WestCyrilberg, Pop: 42445079, Elevation: 2180.0)
(City: Kuvalistown, Pop: 21164702, Elevation: 1195.0)
(City: SouthJocelynside, Pop: 7152707, Elevation: 3312.0)
(City: Alberthaville, Pop: 30696553, Elevation: 3611.0)
(City: Hassiefort, Pop: 39654949, Elevation: 2623.0)
(City: Farrellview, Pop: 4843052, Elevation: 1925.0)
(City: Ritchiechester, Pop: 29945249, Elevation: 3719.0)
(City: Bartonberg, Pop: 17251600, Elevation: 2560.0)
(City: NewKeyshawnfurt, Pop: 49308465, Elevation: 3472.0)
(City: SouthKeegan, Pop: 36470270, Elevation: 2480.0)
(City: Deefort, Pop: 18681837, Elevation: 3881.0)
(City: LakeDominique, Pop: 15341946, Elevation: 1265.0)
(City: NorthNoemiefurt, Pop: 34986687, Elevation: 3808.0)
(City: LakeKarleyburgh, Pop: 30869576, Elevation: 14.0)
(City: Schimmelfort, Pop: 37238197, Elevation: 1187.0)
(City: Alvisport, Pop: 47223508, Elevation: 3094.0)
(City: MacGyverburgh, Pop: 25418471, Elevation: 1504.0)
(City: Lowetown, Pop: 30653941, Elevation: 3859.0)
(City: NewSandrineborough, Pop: 9628949, Elevation: 238.0)
(City: WestAmeliaton, Pop: 37482025, Elevation: 3492.0)
(City: Scottychester, Pop: 32103832, Elevation: 2640.0)
