Node# CityName Population Elevation
1 SouthTamiabury 30297499 1430.0
2 WestChasity 45113339 3034.0
3 WestKelvin 20976363 2570.0
4 NewCallieview 8999241 1362.0
5 Jakaylahaven 43077191 1705.0
6 SouthJaidahaven 29562125 1403.0
7 LakeShayne 2027355 2111.0
8 PortLeanne 7260291 572.0
9 Davisview 13090926 1679.0
10 Dickiview 25979073 815.0
11 Tremaineshire 32131541 2646.0
12 Johnsonmouth 32846514 1178.0
13 WestEdgardofurt 26091843 787.0
14 WestLonnie 47890717 1510.0
15 EastKennedi 15644279 1342.0
16 Dickimouth 2349918 881.0
17 SouthBrownfort 4641337 2248.0
18 NorthLauryn 750310 3000.0
19 SouthSadie 16148699 2372.0
20 LakeShaunshire 27829343 2541.0
21 PortMatilda 48286007 1233.0
22 SouthMariano 24372851 683.0
23 Jakubowskiberg 1259293 1649.0
24 LakeMaynard 38052965 2404.0
25 NorthArden 16109654 558.0
26 SouthRoberta 16567994 3803.0
27 EastYasmeenville 16661768 2635.0
28 NorthAdashire 704379 267.0
29 SouthCaratown 36706204 2296.0
30 PortRomamouth 12862173 1411.0
31 NewMasonside 3321481 3160.0
32 PortArlo 17181026 1211.0
33 Sidneyshire 2517811 104.0
34 WestEvalyntown 26242470 708.0
35 Zitamouth 32697812 726.0
36 SouthHeidi 25551366 1636.0
37 Geoffreyburgh 10581944 2011.0
38 Eberthaven 3597957 1242.0
39 Rippinburgh 7403549 2555.0
40 SouthAntwanhaven 46341932 960.0
41 PortMonashire 26842298 1446.0
42 NewNorval 4390203 431.0
43 PortGuillermo 40812101 2382.0
44 Nashberg 1089085 2117.0
45 SouthJaidenside 33088755 3928.0
46 PortBradlyberg 37035946 1624.0
47 NorthLolita 9439278 3977.0
48 Adriannaport 10800187 2126.0
49 SouthAletha 37929983 3737.0
50 WestLawrence 4978030 2900.0
51 VonRuedenmouth 47091736 2584.0
52 LakeAryannaborough 48259135 2490.0
53 NorthSalmaside 3173768 3575.0
54 Brakusmouth 10179814 1291.0
55 Candaceshire 38583507 2357.0
56 WestSpencerberg 2963464 2557.0
57 Floland 13820649 2993.0
58 EastAnthonyberg 878246 3985.0
59 Nelsland 40733863 531.0
60 Gulgowskichester 17423920 2122.0
61 Salvadorshire 28443359 3020.0
62 NorthDaltonbury 47113197 1806.0
63 PortHarmonburgh 22006368 466.0
64 Susannashire 27232658 1160.0
65 SouthAva 20425427 1074.0
66 EastCleveland 10670003 801.0
67 Walkerhaven 40553119 3483.0
68 LakeCarlosland 22186504 382.0
69 PortWilsonport 49297352 2993.0
70 SouthLafayettemouth 16305614 665.0
71 LakeLaronstad 24833570 2284.0
72 Schusterview 21700529 2940.0
73 NewMaribelfort 33379878 1179.0
74 NewMadisynfurt 37734945 1443.0
75 LakeEunice 19121815 2291.0
76 WestJadamouth 16582568 3866.0
77 WestAlyce 29771207 2092.0
78 Macejkovictown 1347190 3736.0
79 WestWilly 31646538 3345.0
80 Feilberg 18104413 1066.0
81 LakeDejuan 14097451 343.0
82 LakeRiver 3186998 1186.0
83 WestJakaylaview 30290802 3342.0
84 Schneidermouth 4779842 1541.0
85 Elvastad 11928516 3741.0
86 O'Connerbury 11333481 3459.0
87 EastDella 16543656 3697.0
88 Mayertview 20874159 1427.0
89 Watsicaview 7748110 3892.0
90 Aliciatown 45580309 3590.0
91 PortBlazeton 20302086 2750.0
92 NorthVirgiemouth 8982129 2411.0
93 EastAminaborough 22589209 585.0
94 NorthKristoffer 22524462 2094.0
95 NorthAngelica 26740246 3701.0
96 NewAnastacio 14647374 791.0
97 EastBenedict 6239080 1515.0
98 Schambergerville 36442248 2102.0
99 Lefflerbury 21600659 1716.0
100 SouthNico 29696904 3597.0
